bookID,author
3,Amy Tan
4,John Grisham
5,The Onion
6,Michael Crichton
7,Michael Crichton
8,Mark Salzman
9,Harper Lee
10,Laura Hillenbrand
11,Barbara Kingsolver
12,Jane Austen
13,Mary Higgins Clark
14,Dean Koontz
15,J.D. Robb
16,John Grisham
17,Robert Penn Warren
18,Mark Helprin
19,Anne Tyler
20,Amy Tan
21,Benjamin Hoff
22,Niccolo Machiavelli
23,Robert A. Heinlein
24,Michael Ondaatje
25,J.D. Salinger
26,Mary Higgins Clark
27,Ken Follett
28,Mitch Albom
29,David Morrell
30,Sandra Brown
31,James Patterson
32,Iris Johansen
33,Joe Hutsko
34,Paul Theroux
35,Stephen King
36,Tom Clancy
37,Gabriel Garcia Marquez
38,Anne Frasier
39,Daphne Du Maurier
40,Susan Grant
41,Barbara Vine
42,David Baldacci
43,Douglas Adams
44,Willa Cather
45,Helen Fielding
46,Ray Bradbury
47,Ray Bradbury
48,Arundhati Roy
49,James Patterson
50,Michael Crichton
51,Richard North Patterson
52,Arthur Golden
53,Kathleen E. Woodiwiss
54,Belva Plain
55,John Grisham
56,John Grisham
57,John Grisham
58,Nicholas Sparks
59,Stephen King
60,Tracy Chevalier
61,Dan Brown
62,Gregory Maguire
63,Yann Martel
64,Ruth Rendell
65,Donna Tartt
66,Anita Shreve
67,Terry Pratchett
68,Terry Pratchett
69,Mary O'Hara
70,Kenneth Grahame
71,Roald Dahl
72,Donna Jo Napoli
73,Tanuja Desai Hidier
74,Sophie Kinsella
75,George Orwell
76,Isabel Allende
77,Enid Blyton
78,Enid Blyton
79,Alan Moore
80,Tom Wolfe
81,John Grisham
82,Mary Barnard
83,T. Coraghessan Boyle
84,Isabelle Holland
85,Brian Kaufman
86,Frank M. Robinson
87,Mary Jane Clark
88,Douglas Adams
89,Sarah Waters
90,Tom Clancy
91,Ann Patchett
92,Sue Monk Kidd
93,Colleen Mccullough
94,John Grisham
95,John Grisham
96,Dick Francis
97,Douglas Adams
98,Jean Marzollo
99,Christopher Rice
100,William Sleator
101,Antoine De Saint-Exupã©Ry
102,Richard Bach
103,Lewis Carroll
104,Mary Higgins Clark
105,Mark Twain
106,Thomas Harris
107,Margaret Atwood
108,Maya Angelou
109,John G. Neihardt
110,Don Miguel Ruiz
111,Piers Anthony
112,Piers Anthony
113,Nathaniel Hawthorne
114,Luanne Rice
115,Alice Sebold
116,John Irving
117,Tim Gautreaux
118,Richard Russo
119,Margaret Atwood
120,Anna Quindlen
121,Joseph Girzone
122,Lorraine Anderson
123,Stephen King
124,Joyce Reardon
125,Elmore Leonard
126,Barbara Kingsolver
127,Barbara Kingsolver
128,Isabel Allende
129,Maeve Binchy
130,Harry Kemelman
131,Patricia Daniels Cornwell
132,Catherine Coulter
133,Mary Higgins Clark
134,Julia Glass
135,Danielle Steel
136,Dean R. Koontz
137,Nora Roberts
138,Michael Marshall
139,John Grisham
140,John Grisham
141,Tami Hoag
142,Ted Dekker
143,Ted Dekker
144,C. S. Lewis
145,Danielle Steel
146,Lisa Jackson
147,Justine Korman
148,Mercedes Lackey
149,Mercedes Lackey
150,Fannie Flagg
151,Lisa Gardner
152,Eric Schlosser
153,Maeve Binchy
154,Sarah Ban Breathnach
155,Alice Hoffman
156,Ian Mcewan
157,Katie Fforde
158,Henry Miller
159,Martha Beck
160,Melissa Bank
161,Audrey Niffenegger
162,Chaim Potok
163,Chaim Potok
164,Chaim Potok
165,Dan Brown
166,Jane Hamilton
167,Dave Barry
168,David Guterson
169,John Grisham
170,Bernhard Schlink
171,Kristin Hannah
172,Marc Levy
173,Nicholas Sparks
174,Jennifer Lauck
175,Nicholas Sparks
176,Nicholas Sparks
177,Sebastian Junger
178,Jan Karon
179,James Patterson
180,James Patterson
181,Linda Lay Shuler
182,Hubert Selby
183,Charles L. Squire
184,Elizabeth Strout
185,David Sedaris
186,Leslie Feinberg
187,Gael Baudino
188,Emma Donoghue
189,Dean R. Koontz
190,Dean R. Koontz
191,John Varley
192,Christopher Rice
193,Lee Smith
194,Jacqueline Woodson
195,Stephen King
196,Peter Hoeg
197,Erma Bombeck
198,E. L. Doctorow
199,Rachel Roberts
200,Paul Hattaway
201,Stephen King
202,Marion Zimmer Bradley
203,Tom Clancy
204,John Grisham
205,Kate Chopin
206,Tom Clancy
207,Michael Connelly
