bookID,genre
3,1
3,6
4,0
4,1
4,3
5,1
5,6
5,10
6,0
6,1
6,3
7,1
7,3
7,6
8,1
9,1
9,6
9,7
10,2
10,6
11,1
12,1
12,4
12,7
13,1
13,4
14,1
14,3
14,5
15,0
15,4
15,8
16,0
16,1
16,3
17,1
17,6
17,7
18,1
18,6
19,1
20,1
20,6
20,7
21,2
22,2
22,6
22,7
23,1
23,7
24,1
24,6
25,1
25,7
26,0
26,1
26,3
27,1
27,6
28,1
28,9
29,1
29,3
29,5
29,9
30,0
30,1
30,4
31,0
31,1
31,3
31,8
32,0
32,1
32,3
33,4
34,1
34,7
35,1
35,3
35,5
36,0
36,1
36,3
37,1
37,7
39,0
39,1
39,4
39,7
40,1
41,0
41,1
41,3
41,8
42,1
42,6
43,1
43,7
43,9
44,1
44,6
44,7
45,1
45,4
46,1
46,7
47,1
47,7
48,1
48,6
49,0
49,1
49,3
50,1
50,3
51,0
51,1
51,3
52,1
52,4
52,6
53,4
53,6
54,1
54,6
55,0
55,1
55,3
56,0
56,1
56,3
57,1
58,1
58,4
59,0
59,1
59,3
59,5
59,9
60,1
60,6
60,7
61,0
61,1
61,3
62,1
62,9
63,1
63,7
63,9
64,0
64,1
64,3
64,8
65,9
66,0
66,1
66,6
67,1
67,9
68,1
68,9
69,1
69,7
70,1
70,7
70,9
71,1
71,7
71,9
72,1
72,5
72,7
72,9
73,1
73,4
74,1
74,4
74,10
75,1
75,7
75,9
76,1
76,6
77,1
77,7
77,9
78,1
78,9
79,1
79,9
80,1
81,0
81,1
82,7
83,1
84,1
85,0
85,1
85,3
86,1
86,6
87,0
87,1
87,3
88,2
89,0
89,1
89,6
90,0
90,1
90,3
91,1
92,1
92,6
93,1
93,4
93,6
94,0
94,1
94,3
94,8
95,0
95,1
95,3
95,8
96,0
96,1
96,3
96,8
97,1
97,9
98,0
98,2
99,0
99,1
99,3
99,4
100,1
100,5
101,1
101,7
101,9
102,1
102,7
102,9
103,1
103,7
103,9
104,4
105,1
105,6
105,7
106,0
106,1
106,3
106,5
106,8
107,1
108,2
109,2
109,6
110,2
111,1
111,9
112,1
112,9
113,1
113,6
113,7
114,1
114,4
115,0
115,1
116,1
117,1
117,4
117,6
117,9
118,1
119,1
119,9
120,1
121,9
122,2
123,1
123,3
123,5
124,1
124,5
124,6
125,1
125,5
126,1
127,1
128,1
128,4
128,6
129,1
129,4
129,6
130,0
130,1
131,0
131,1
131,3
131,8
132,0
132,1
132,3
132,4
133,0
133,1
133,3
134,1
135,2
136,1
136,3
136,5
137,0
137,1
137,4
138,0
138,1
138,3
138,5
138,8
139,0
139,1
139,3
140,0
140,1
140,3
141,0
141,3
141,4
141,8
142,1
142,4
143,1
143,3
143,9
144,1
144,7
144,9
145,0
145,1
145,9
146,0
146,3
146,4
148,1
148,9
149,1
149,3
149,5
149,9
150,1
151,0
151,1
151,3
151,8
152,2
153,1
153,4
154,2
155,0
155,1
155,9
156,1
156,4
156,6
156,7
157,1
157,4
158,1
158,7
159,2
160,1
160,4
161,1
161,4
161,9
162,1
162,6
162,7
163,1
163,6
163,7
164,1
164,6
165,0
165,1
165,3
166,1
167,0
167,1
167,10
168,0
168,1
168,6
169,1
170,1
170,6
171,1
171,4
172,1
172,4
172,9
173,1
173,4
174,2
175,1
175,4
176,1
176,4
177,2
177,6
178,1
179,1
179,4
180,0
180,1
180,3
180,8
181,1
181,6
182,1
182,7
183,2
183,6
183,9
184,1
185,2
186,1
187,1
187,9
188,1
188,6
188,9
189,0
189,3
189,5
190,1
190,3
190,5
191,1
191,9
192,0
192,1
193,4
193,9
194,1
195,1
195,5
196,0
196,1
196,3
196,8
197,2
197,10
198,0
198,1
198,6
198,8
199,9
200,2
201,1
201,3
201,5
201,9
202,1
202,6
202,9
203,1
203,3
204,0
204,1
204,3
204,8
205,4
206,0
206,1
206,3
207,0
207,1
207,3
207,8
208,0
208,1
208,3
209,1
209,4
209,6
210,1
210,4
210,7
211,0
211,1
211,3
211,4
212,0
212,1
212,3
213,1
213,9
214,1
214,4
215,1
215,7
216,0
216,1
216,3
217,7
218,1
218,3
218,5
219,4
219,5
219,9
220,1
220,7
220,9
221,0
221,1
221,3
221,8
222,1
222,3
222,7
223,1
223,4
224,1
224,7
225,1
225,7
226,1
226,7
227,1
227,4
227,9
228,0
228,4
228,9
229,1
229,4
229,6
230,1
230,4
231,1
231,9
232,1
232,9
233,1
234,1
235,1
235,7
236,1
236,4
236,6
237,1
237,6
237,7
237,9
238,1
239,1
239,6
239,7
240,1
240,4
240,6
240,9
241,2
242,1
243,1
243,6
243,7
244,0
244,1
244,3
244,8
245,1
245,3
245,5
246,1
247,1
247,6
248,1
248,4
248,6
249,1
249,5
249,9
250,1
250,9
251,1
252,0
252,1
252,6
252,8
253,0
253,1
253,3
253,5
253,8
254,1
254,3
254,9
255,4
256,1
256,7
257,1
257,4
258,1
258,9
259,1
259,4
259,6
259,7
260,0
260,1
260,6
261,1
261,6
262,1
262,6
263,1
264,1
264,6
264,9
265,2
265,8
266,1
266,7
267,1
267,4
268,1
269,0
269,1
269,3
269,8
270,1
270,7
271,1
271,9
272,1
272,7
272,9
273,2
274,1
274,9
275,1
275,9
276,1
276,4
276,9
276,10
277,1
277,6
277,7
278,1
278,6
278,7
279,1
279,4
280,1
280,9
281,1
282,1
282,9
283,0
283,1
283,3
283,8
284,0
284,1
284,3
285,0
285,1
285,3
285,8
286,2
287,1
288,1
288,7
288,9
289,1
289,7
290,1
290,7
291,0
291,1
291,3
291,8
292,1
292,6
292,7
293,1
293,6
293,7
294,1
294,7
294,9
295,1
295,4
296,1
297,1
297,6
298,0
298,1
298,3
298,5
298,6
298,8
299,0
299,1
299,3
299,6
299,8
300,1
300,7
301,1
301,7
301,9
302,1
303,0
303,1
303,3
304,1
304,4
305,1
305,6
305,9
306,1
306,6
307,1
308,0
308,1
308,3
309,2
309,6
310,1
310,4
311,1
311,4
312,4
312,9
313,1
313,7
314,1
314,4
315,1
315,4
315,7
316,1
316,4
317,0
317,1
317,3
317,8
318,1
318,4
318,7
319,1
320,0
320,1
320,7
320,8
321,0
321,1
321,3
322,1
323,0
323,1
323,4
323,6
323,7
324,1
324,6
324,7
325,2
326,1
326,7
327,0
327,1
327,3
327,5
328,1
328,6
328,9
329,1
329,3
329,5
329,9
330,1
330,4
331,1
331,4
332,1
333,1
334,1
334,4
334,7
334,10
335,1
335,6
336,1
336,7
336,9
337,1
337,7
338,1
338,6
338,7
339,0
339,4
340,0
340,4
341,2
342,1
342,3
343,1
343,9
344,0
344,1
344,3
344,9
345,1
345,9
346,1
346,4
347,1
347,9
348,1
348,5
348,9
349,1
350,1
350,10
351,1
351,9
353,1
354,1
354,4
354,6
354,7
355,0
355,1
355,9
356,1
356,6
357,1
357,7
358,0
358,1
358,3
358,8
359,2
360,2
360,7
361,1
361,9
362,1
363,1
363,6
363,7
364,2
365,2
365,7
366,1
366,4
366,9
367,1
367,6
368,2
369,1
369,7
370,1
370,3
371,0
371,1
371,3
371,6
371,8
372,2
373,1
373,9
374,0
374,1
374,3
374,8
375,2
376,1
376,4
376,6
376,7
377,1
378,0
378,1
378,3
378,8
379,1
379,6
379,7
380,1
380,4
381,0
381,1
381,3
381,8
382,1
382,7
383,0
383,1
383,3
384,0
384,1
384,3
384,5
385,0
385,1
385,3
385,8
386,0
386,1
386,3
386,8
387,0
387,1
387,3
388,0
388,1
388,3
389,1
390,1
390,6
390,9
391,2
392,1
392,4
392,9
393,0
393,1
393,7
393,8
394,1
395,0
395,1
395,6
395,9
396,0
396,1
396,3
396,5
397,1
398,1
398,6
399,1
399,9
400,1
400,9
401,1
401,4
402,0
402,1
402,7
402,9
403,1
403,9
404,1
404,9
405,2
405,6
406,0
406,1
406,6
406,8
407,0
407,1
407,3
407,8
408,2
408,7
409,4
409,9
410,1
410,7
411,0
411,1
411,3
411,8
412,0
412,1
412,3
413,1
413,4
413,6
414,0
414,1
415,0
415,1
416,0
416,1
416,7
416,8
417,1
417,4
418,0
418,1
418,6
419,1
419,7
420,1
420,6
420,9
421,1
421,4
422,1
422,3
422,5
423,1
423,3
423,5
424,1
424,3
424,5
425,1
425,4
426,1
426,9
427,1
428,1
428,4
428,9
429,1
429,4
429,6
429,7
430,1
430,6
430,9
431,1
431,6
432,1
433,1
433,6
434,1
434,7
435,1
435,6
436,1
437,0
437,1
437,3
438,4
439,1
440,1
440,9
441,1
441,7
442,1
442,6
443,1
443,9
444,1
444,6
444,9
445,1
445,9
446,0
446,1
446,3
447,1
447,7
448,4
449,1
449,7
450,1
450,6
450,7
450,9
451,1
451,6
452,1
452,9
453,1
454,0
454,1
454,4
455,2
456,1
456,3
457,0
457,1
457,3
458,1
458,6
459,1
459,3
459,5
460,1
460,9
461,2
461,7
462,1
462,7
463,1
463,4
463,6
464,1
465,2
465,6
466,0
466,1
466,3
466,8
467,1
468,1
468,6
468,7
469,1
469,4
470,1
470,7
471,0
471,1
471,3
471,7
472,0
472,1
472,3
472,8
473,4
473,9
474,1
474,9
475,0
475,1
475,3
475,8
476,0
476,1
476,6
477,1
477,3
477,5
478,1
478,4
479,0
479,1
479,3
479,8
479,10
480,0
480,1
480,3
480,5
481,1
481,3
482,0
482,1
482,3
482,5
483,0
483,1
483,3
483,6
484,0
484,1
484,3
484,8
485,1
485,3
486,1
487,0
487,1
487,3
487,8
488,1
489,1
489,3
489,5
490,2
491,2
492,1
493,1
493,9
494,1
494,4
495,1
496,1
496,7
497,1
497,5
497,9
498,1
498,9
499,1
499,10
500,2
501,1
502,1
502,6
502,7
503,0
503,1
503,4
504,1
505,0
505,1
505,7
505,8
506,0
506,1
506,7
506,8
507,0
507,1
507,3
507,7
507,8
508,1
508,7
509,1
509,4
510,0
510,1
510,4
511,4
511,9
512,1
512,4
512,6
512,7
513,1
513,9
514,1
515,1
515,9
516,2
516,3
516,6
517,0
517,1
517,3
518,2
519,1
519,6
520,4
520,9
521,1
521,7
521,9
522,1
522,7
522,9
523,0
523,1
523,4
524,1
524,9
525,1
525,4
526,1
526,4
527,1
527,4
527,6
528,1
528,4
528,6
529,2
530,0
530,1
531,0
531,1
531,4
532,1
533,1
534,1
534,7
535,1
536,1
536,6
536,9
537,1
537,9
538,1
538,6
538,9
539,1
539,9
540,1
540,9
541,1
541,3
541,5
542,1
542,9
542,10
543,2
543,6
543,10
544,1
544,9
545,1
545,6
545,9
546,1
547,1
547,3
547,5
548,1
548,7
549,1
549,9
550,0
550,1
550,3
550,8
551,1
551,7
552,1
552,6
552,9
553,1
554,0
554,1
554,3
555,9
556,1
556,3
556,5
557,1
557,9
558,1
558,5
558,9
559,1
559,6
560,0
560,1
560,3
560,8
561,1
561,4
561,6
562,4
562,6
563,0
563,1
563,3
563,5
564,0
564,1
564,3
564,5
565,1
565,3
565,5
566,1
566,3
566,5
567,1
567,5
567,7
567,9
568,1
569,0
569,1
569,3
569,8
570,1
570,6
571,1
571,6
571,9
572,1
572,4
572,9
573,1
573,6
574,0
574,1
574,3
575,1
576,1
576,7
577,4
578,1
579,1
579,7
580,1
580,4
580,9
581,0
581,1
581,3
581,4
582,1
582,7
583,1
583,7
584,0
584,1
584,3
584,8
585,0
585,1
586,2
587,1
588,1
588,3
588,5
589,1
589,9
590,1
590,6
590,7
591,1
592,2
593,1
593,9
594,1
594,7
594,9
595,1
596,0
596,1
596,3
597,1
597,4
598,1
598,4
599,1
600,1
600,4
601,1
601,6
601,9
602,1
602,7
603,1
603,6
604,1
604,7
604,10
605,0
605,1
605,7
605,8
606,0
606,1
606,3
606,8
607,1
607,6
608,1
608,6
609,0
609,4
610,1
610,7
611,0
611,1
611,3
612,1
612,6
613,1
613,6
613,9
614,1
614,3
615,1
615,4
615,6
615,7
616,1
616,9
617,2
617,7
618,1
618,7
619,1
619,7
620,2
620,7
621,1
621,9
622,1
622,7
622,9
623,1
623,7
623,9
624,1
625,1
625,7
625,10
626,2
627,1
627,7
628,1
628,7
629,0
629,4
629,5
629,9
630,1
630,9
631,2
632,1
633,1
634,1
634,6
634,7
635,0
635,1
635,6
635,9
636,1
636,7
637,1
637,6
637,7
638,1
638,9
639,1
640,1
640,6
640,7
641,2
642,1
642,7
643,2
644,1
644,4
644,6
644,10
645,1
645,4
645,6
646,1
647,1
647,6
648,2
648,6
649,4
649,9
650,1
